image_id,highway
1.73529E+14,primary
1.87099E+14,footway
1.99877E+15,primary
2.16283E+14,primary
2.6929E+14,footway
2.94702E+15,primary
3.10699E+14,primary
3.15971E+14,footway
4.32082E+14,footway
4.86527E+14,primary
4.97792E+14,footway
5.68494E+14,primary
7.96584E+14,footway
8.27676E+14,primary
9.27816E+14,primary
9.52368E+14,footway
2.09625E+15,footway
3.05399E+14,footway
3.08708E+14,footway
3.34214E+14,primary
3.87616E+14,footway
5.07005E+14,footway
5.18224E+14,primary
5.32051E+14,footway
6.77807E+14,footway
7.42794E+14,primary
8.11605E+14,primary
8.21061E+14,primary
8.24424E+14,footway
8.77953E+14,footway
